584 1127 {'mean_speed': 39.97, 'name': 1424, 'time': 49.83, 'length': 553.21, 'hist_speed': array([0.9, 0.1, 0. , 0. ]), 'stochastic_time': array([132.77, 132.77, 132.77, 132.77, 132.77])}
584 125 {'mean_speed': 32.77, 'name': 3397, 'time': 39.55, 'length': 359.99, 'hist_speed': array([0.3, 0.6, 0.1, 0. ]), 'stochastic_time': array([86.4, 86.4, 86.4, 86.4, 86.4])}
1385 125 {'mean_speed': 34.19, 'name': 3399, 'time': 28.57, 'length': 271.35, 'hist_speed': array([0.3, 0.7, 0. , 0. ]), 'stochastic_time': array([65.12, 65.12, 65.12, 65.12, 65.12])}
1385 430 {'mean_speed': 32.57, 'name': 4080, 'time': 27.62, 'length': 249.91, 'hist_speed': array([0.3, 0.7, 0. , 0. ]), 'stochastic_time': array([59.98, 59.98, 59.98, 59.98, 59.98])}
1385 1323 {'mean_speed': 29.61, 'name': 5507, 'time': 32.83, 'length': 270.01, 'hist_speed': array([0. , 0.8, 0.2, 0. ]), 'stochastic_time': array([64.8, 64.8, 64.8, 64.8, 64.8])}
130 1629 {'mean_speed': 37.08, 'name': 367, 'time': 18.65, 'length': 192.1, 'hist_speed': array([0.9, 0.1, 0. , 0. ]), 'stochastic_time': array([46.1, 46.1, 46.1, 46.1, 46.1])}
130 1281 {'mean_speed': 43.61, 'name': 370, 'time': 27.1, 'length': 328.33, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([78.8, 78.8, 78.8, 78.8, 78.8])}
1629 1836 {'mean_speed': 33.61, 'name': 2919, 'time': 28.07, 'length': 262.06, 'hist_speed': array([0.5, 0.1, 0.4, 0. ]), 'stochastic_time': array([62.89, 62.89, 62.89, 62.89, 62.89])}
1629 130 {'mean_speed': 30.8, 'name': 3413, 'time': 22.45, 'length': 192.1, 'hist_speed': array([0. , 0.9, 0.1, 0. ]), 'stochastic_time': array([46.1, 46.1, 46.1, 46.1, 46.1])}
1629 1166 {'mean_speed': 30.96, 'name': 5328, 'time': 18.18, 'length': 156.35, 'hist_speed': array([0.5, 0.2, 0.3, 0. ]), 'stochastic_time': array([37.52, 37.52, 37.52, 37.52, 37.52])}
1760 130 {'mean_speed': 26.4, 'name': 369, 'time': 23.5, 'length': 172.32, 'hist_speed': array([0. , 0.6, 0.3, 0.1]), 'stochastic_time': array([41.36, 41.36, 41.36, 41.36, 41.36])}
1760 1166 {'mean_speed': 26.75, 'name': 2391, 'time': 25.24, 'length': 187.57, 'hist_speed': array([0. , 0.7, 0.2, 0.1]), 'stochastic_time': array([45.02, 45.02, 45.02, 45.02, 45.02])}
1281 1575 {'mean_speed': 26.25, 'name': 2531, 'time': 30.61, 'length': 223.17, 'hist_speed': array([0.1, 0.2, 0.7, 0. ]), 'stochastic_time': array([53.56, 53.56, 53.56, 53.56, 53.56])}
1281 130 {'mean_speed': 40.52, 'name': 3415, 'time': 29.17, 'length': 328.33, 'hist_speed': array([0.6, 0.4, 0. , 0. ]), 'stochastic_time': array([78.8, 78.8, 78.8, 78.8, 78.8])}
1281 806 {'mean_speed': 26.72, 'name': 4809, 'time': 22.89, 'length': 169.86, 'hist_speed': array([0.1, 0.4, 0.5, 0. ]), 'stochastic_time': array([40.77, 40.77, 40.77, 40.77, 40.77])}
139 725 {'mean_speed': 16.71, 'name': 394, 'time': 17.79, 'length': 82.58, 'hist_speed': array([0. , 0. , 0.6, 0.4]), 'stochastic_time': array([19.82, 19.82, 19.82, 19.82, 19.82])}
139 1612 {'mean_speed': 24.08, 'name': 396, 'time': 47.3, 'length': 316.38, 'hist_speed': array([0., 0., 1., 0.]), 'stochastic_time': array([75.93, 75.93, 75.93, 75.93, 75.93])}
725 1690 {'mean_speed': 43.51, 'name': 1696, 'time': 24.82, 'length': 299.95, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([71.99, 71.99, 71.99, 71.99, 71.99])}
725 364 {'mean_speed': 19.26, 'name': 3943, 'time': 56.25, 'length': 300.93, 'hist_speed': array([0., 0., 1., 0.]), 'stochastic_time': array([72.22, 72.22, 72.22, 72.22, 72.22])}
1600 139 {'mean_speed': 22.8, 'name': 395, 'time': 31.16, 'length': 197.38, 'hist_speed': array([0. , 0. , 0.9, 0.1]), 'stochastic_time': array([47.37, 47.37, 47.37, 47.37, 47.37])}
1600 1444 {'mean_speed': 33.83, 'name': 5632, 'time': 35.47, 'length': 333.37, 'hist_speed': array([0.5, 0.4, 0. , 0.1]), 'stochastic_time': array([80.01, 80.01, 80.01, 80.01, 80.01])}
1600 1465 {'mean_speed': 30.62, 'name': 5654, 'time': 43.96, 'length': 373.9, 'hist_speed': array([0.2, 0.7, 0.1, 0. ]), 'stochastic_time': array([89.74, 89.74, 89.74, 89.74, 89.74])}
1612 1696 {'mean_speed': 22.4, 'name': 2908, 'time': 74.47, 'length': 463.35, 'hist_speed': array([0. , 0.4, 0.6, 0. ]), 'stochastic_time': array([111.2, 111.2, 111.2, 111.2, 111.2])}
1612 139 {'mean_speed': 23.06, 'name': 3439, 'time': 49.39, 'length': 316.38, 'hist_speed': array([0. , 0.3, 0.7, 0. ]), 'stochastic_time': array([75.93, 75.93, 75.93, 75.93, 75.93])}
1612 364 {'mean_speed': 27.26, 'name': 3945, 'time': 23.75, 'length': 179.85, 'hist_speed': array([0. , 0.5, 0.5, 0. ]), 'stochastic_time': array([43.16, 43.16, 43.16, 43.16, 43.16])}
1612 1465 {'mean_speed': 25.89, 'name': 5653, 'time': 23.38, 'length': 168.12, 'hist_speed': array([0. , 0.4, 0.6, 0. ]), 'stochastic_time': array([40.35, 40.35, 40.35, 40.35, 40.35])}
604 1049 {'mean_speed': 28.56, 'name': 1464, 'time': 17.6, 'length': 139.59, 'hist_speed': array([0. , 0.8, 0.2, 0. ]), 'stochastic_time': array([33.5, 33.5, 33.5, 33.5, 33.5])}
