Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length
5148,1370,104.0742895,30.69705339,1006,104.0729201,30.69705475,131.1495224
5149,1335,104.0387773,30.64862074,1008,104.0349293,30.64918505,373.9964236
5150,1541,104.0348343,30.65134174,1008,104.0349293,30.64918505,239.2014238
5151,1461,104.074683,30.67600168,1009,104.0758934,30.67758218,210.06636
5152,1536,104.0813226,30.67490618,1009,104.0758934,30.67758218,598.7199941
5153,1259,104.07673,30.67884784,1009,104.0758934,30.67758218,161.5537713
5154,1337,104.085047,30.6139843,1011,104.0824791,30.61850486,558.2127839
5155,1244,104.0830681,30.62309815,1011,104.0824791,30.61850486,512.1917406
5156,1057,104.0026792,30.6762614,1012,104.0041934,30.67864559,301.4362171
5157,1091,103.9913554,30.64443734,1014,103.9936314,30.64138601,402.4217299
5158,1829,104.0243492,30.65209681,1015,104.0300293,30.65164912,546.5316574
5159,1646,104.0295853,30.65343078,1015,104.0300293,30.65164912,201.99432
5160,1173,104.0427743,30.62252235,1017,104.0431223,30.62203953,63.05385226
5161,1108,104.083316,30.61359505,1018,104.0847891,30.6093794,488.0924974
5162,1528,104.0496097,30.72806879,1019,104.0494214,30.73264506,507.5159509
5163,1471,104.0558742,30.73252706,1019,104.0494214,30.73264506,617.9361295
